識別情報,団体コード,種別,団体名,概要,名称,住所_表記,通称,施設_緯度,施設_経度,ホームページ,施設_電話番号,開始時間,終了時間,自由記述欄,日時備考
33,11224,公園,埼玉県戸田市,,下町公園,埼玉県戸田市 	笹目6丁目26番地,,35.810396,139.647318,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=33,,,,昭和45年、区画整理により設置しました。,
34,11224,公園,埼玉県戸田市,,夏浜公園,埼玉県戸田市 	笹目7丁目9番地,,35.809052,139.643347,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=34,,,,昭和47年、区画整理により設置されました。,
35,11224,公園,埼玉県戸田市,,早瀬公園,埼玉県戸田市 	笹目8丁目5番地,,35.80654,139.64613,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=35,,,,昭和45年、区画整理により設置されました。,
36,11224,公園,埼玉県戸田市,,後第一公園,埼玉県戸田市喜沢1丁目29番地,,35.81366,139.69469,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=36,,,,この地域は住宅が密集している状態なので、緑が少ないためにこの公園は設置されました。,
37,11224,公園,埼玉県戸田市,,後第二公園,埼玉県戸田市 	喜沢1丁目8番地,,35.8148,139.69788,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=37,,,,昭和３９年に区画整理により設置された。,
38,11224,公園,埼玉県戸田市,,氷川公園,埼玉県戸田市中町1丁目28番地,,35.811682,139.690665,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=38,,,,昭和39年、区画整理により設置された。,
39,11224,公園,埼玉県戸田市,,喜沢第一公園,埼玉県戸田市 	喜沢2丁目24番地,,35.810326,139.693486,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=39,,,,区画整理により昭和３９年に設置されました。,
40,11224,公園,埼玉県戸田市,,喜沢第二公園,埼玉県戸田市 	喜沢2丁目17番地,,35.8085,139.6971,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=40,,,,昭和３９年区画整理により設置しました。,
41,11224,公園,埼玉県戸田市,,外仲田公園,埼玉県戸田市 	美女木2丁目31番地,,35.8283326,139.6463214,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=41,,,,昭和54年、区画整理により設置されました。美女木小学校の北側に位置しています。,
42,11224,公園,埼玉県戸田市,,山宮北公園,埼玉県戸田市 	笹目4丁目44番地,,35.82139,139.65213,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=42,,,,昭和54年、区画整理により設置されました。笹目中学校の南側に位置しています。,
43,11224,公園,埼玉県戸田市,,谷口北公園,埼玉県戸田市笹目北町4番地,,35.821602,139.658511,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=43,,,,昭和54年、区画整理により設置されました。笹目川の西側に位置しています。,
44,11224,公園,埼玉県戸田市,,笹目南公園,埼玉県戸田市笹目南町16番地,,35.809952,139.652363,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=44,,,,,
45,11224,公園,埼玉県戸田市,,馬場公園,埼玉県戸田市 	新曽南2丁目7番地,,35.809917,139.664599,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=45,,,,本公園は、新曽小学校の東側に位置し、その周辺には、住宅が密集しており、緑も少ない状況でした。またこの地域には都市公園がなく、設置が望まれ、50年度に整備されました。,
46,11224,公園,埼玉県戸田市,,川岸公園,埼玉県戸田市川岸2丁目6番地,,35.803876,139.686188,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=46,,,,国道１７号線より東に１５０米、一級河川菖蒲川沿いに位置し、旧法で土地区画整理事業が完了した地区に設置,
47,11224,公園,埼玉県戸田市,,下前公園,埼玉県戸田市 	下前2丁目10番地,,35.80802,139.68433,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=47,,,,この地区は旧法の土地区画整理事業のため公園施設がない状況のため、戸田橋から北へ約８００m、１７号国道から１００mの位置に公園を設置した。,
48,11224,公園,埼玉県戸田市,,下戸田第一公園,埼玉県戸田市 	下戸田1丁目18番地,,35.813154,139.683888,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=48,,,,昭和５３年に区画整理により設置した。,
49,11224,公園,埼玉県戸田市,,下戸田第二公園,埼玉県戸田市 	下戸田1丁目15番地,,35.813165,139.68605,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=49,,,,昭和５３年に区画整理により設置された。,
50,11224,公園,埼玉県戸田市,,後谷第二公園,埼玉県戸田市 	上戸田4丁目2番地,,35.820118,139.675409,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=50,,,,昭和53年に区画整理により設置された。,
51,11224,公園,埼玉県戸田市,,荒井前公園,埼玉県戸田市下戸田2丁目番地,,35.817781,139.685038,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=51,,,,昭和５３年区画整理により設置された。,
52,11224,公園,埼玉県戸田市,,後谷第一公園,埼玉県戸田市 	上戸田1丁目21番地,,35.819358,139.67892,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=52,,,,本公園は市役所の北側に位置し、昭和53年に区画整理により設置された。,
